location_name,lat,long,count
রাজশাহী চারঘাট,24.2785308,88.75180499999999,11
রাজশাহী গোদাগাড়ী,24.4687379,88.4403883,11
রাজশাহী তানোর,24.6359657,88.5371958,8
রাজশাহী মোহনপুর,24.544858,88.63619589999999,6
লক্ষ্মীপুর লক্ষ্মীপুর সদর,22.9511825,90.86751339999999,104
লক্ষ্মীপুর রায়পুর,22.9758497,90.6962853,52
লক্ষ্মীপুর কমলনগর,22.7844742,90.8484524,19
লক্ষ্মীপুর রামগঞ্জ,23.1178544,90.8865834,11
লক্ষ্মীপুর রামগতি,22.6529135,90.93429730000001,5
জামালপুর জামালপুর সদর,24.8567435,90.0373201,59
জামালপুর ইসলামপুর,25.0701248,89.7567693,34
জামালপুর দেওয়ানগঞ্জ,25.2124303,89.7567693,26
জামালপুর সরিষাবাড়ী,24.7669433,89.8409152,14
জামালপুর বকশীগঞ্জ,25.184411,89.86805059999999,5
জামালপুর মেলান্দহ,24.98125,89.82708939999999,4
জামালপুর মাদারগঞ্জ,24.8802883,89.7567693,4
কিশোরগঞ্জ কিশোরগঞ্জ সদর,24.4034905,90.7722974,189
কিশোরগঞ্জ পাকুন্দিয়া,24.3087845,90.6962853,101
কিশোরগঞ্জ ইটনা,24.5441919,91.07777229999999,75
কিশোরগঞ্জ মিঠামইন,24.4195583,91.0634024,45
কিশোরগঞ্জ ভৈরব,24.0441592,90.9856518,42
কিশোরগঞ্জ বাজিতপুর,24.2122461,90.9629523,38
কিশোরগঞ্জ হোসেনপুর,24.4174091,90.6547768,32
কিশোরগঞ্জ করিমগঞ্জ,24.4503945,90.8865834,16
কিশোরগঞ্জ তাড়াইল,24.5452025,90.9247501,13
কিশোরগঞ্জ নিকলী,24.3548728,90.9629523,10
কিশোরগঞ্জ কুলিয়ারচর,24.1532092,90.8961217,9
কিশোরগঞ্জ কটিয়াদী,24.2459071,90.7937015,8
কিশোরগঞ্জ অষ্টগ্রাম,24.2795348,91.1185143,2
নওগাঁ নওগাঁ সদর,24.7813896,88.8838834,92
নওগাঁ বদলগাছী,24.968485,88.9102489,17
নওগাঁ আত্রাই,24.5924732,89.0370477,17
নওগাঁ সাপাহার,25.1341109,88.5178518,14
নওগাঁ পোরশা,25.0153328,88.49849909999999,11
নওগাঁ মহাদেবপুর,24.9197919,88.75180499999999,8
নওগাঁ মান্দা,24.7565926,88.7493998,5
নওগাঁ ধামইরহাট,25.1503961,88.85150279999999,5
নওগাঁ নিয়ামতপুর,24.8258922,88.5371958,5
নওগাঁ রাণীনগর,24.7284859,88.95574979999999,4
নওগাঁ পত্নিতলা,25.064922,88.7301525,0
সুনামগঞ্জ সুনামগঞ্জ সদর,25.0164528,91.38551609999999,33
সুনামগঞ্জ দক্ষিণ সুনামগঞ্জ,24.9211898,91.4241426,28
সুনামগঞ্জ দিরাই,24.7552333,91.4048249,12
সুনামগঞ্জ ধর্মপাশা,24.8993243,91.0119509,6
সুনামগঞ্জ শাল্লা,24.6704225,91.2626287,5
সুনামগঞ্জ তাহিরপুর,25.0990489,91.1755002,5
সুনামগঞ্জ জামালগঞ্জ,24.9706644,91.1929114,5
সুনামগঞ্জ জগন্নাথপুর,24.7537103,91.55961169999999,3
সুনামগঞ্জ ছাতক,24.9427401,91.63721500000001,3
সুনামগঞ্জ বিশ্বম্ভরপুর,25.0987573,91.299939,1
সুনামগঞ্জ দোয়ারাবাজার,25.109403,91.5789994,0
ফেনী ফেনী সদর,22.9710093,91.4241426,33
ফেনী সোনাগাজী,22.8760477,91.38551609999999,14
ফেনী দাগনভূঞা,22.9720014,91.3083685,4
ফেনী ছাগলনাইয়া,23.0386278,91.51844179999999,4
ফেনী পরশুরাম,23.2092121,91.4241426,2
ফেনী ফুলগাজী,23.1139399,91.4241426,1
